Team,Conf,Year
Creighton,MVC,2009
Dartmouth,Ivy,2009
Davidson,SC,2009
Dayton,A10,2009
DePaul,BE,2009
Delaware,CAA,2009
Delaware St.,MEAC,2009
Denver,SB,2009
Detroit,Horz,2009
Drake,MVC,2009
Drexel,CAA,2009
Duke,ACC,2009
Duquesne,A10,2009
East Carolina,CUSA,2009
East Tennessee St.,ASun,2009
Eastern Illinois,OVC,2009
Eastern Kentucky,OVC,2009
Eastern Michigan,MAC,2009
Eastern Washington,BSky,2009
Elon,SC,2009
Evansville,MVC,2009
FIU,SB,2009
Fairfield,MAAC,2009
Fairleigh Dickinson,NEC,2009
Florida,SEC,2009
Florida A&M,MEAC,2009
Florida Atlantic,SB,2009
Florida Gulf Coast,ASun,2009
Florida St.,ACC,2009
Fordham,A10,2009
Fresno St.,WAC,2009
Furman,SC,2009
Gardner Webb,BSth,2009
George Mason,CAA,2009
George Washington,A10,2009
Georgetown,BE,2009
Georgia,SEC,2009
Georgia Southern,SC,2009
Georgia St.,CAA,2009
Georgia Tech,ACC,2009
Gonzaga,WCC,2009
Grambling St.,SWAC,2009
Green Bay,Horz,2009
Hampton,MEAC,2009
Hartford,AE,2009
Harvard,Ivy,2009
Hawaii,WAC,2009
High Point,BSth,2009
Hofstra,CAA,2009
Holy Cross,Pat,2009
Houston,CUSA,2009
Houston Baptist,ind,2009
Howard,MEAC,2009
IPFW,Sum,2009
IUPUI,Sum,2009
Idaho,WAC,2009
Idaho St.,BSky,2009
Illinois,B10,2009
Illinois Chicago,Horz,2009
Illinois St.,MVC,2009
Indiana,B10,2009
Indiana St.,MVC,2009
Iona,MAAC,2009
Iowa,B10,2009
Iowa St.,B12,2009
Jackson St.,SWAC,2009
Jacksonville,ASun,2009
Jacksonville St.,OVC,2009
James Madison,CAA,2009
Kansas,B12,2009
Kansas St.,B12,2009
Kennesaw St.,ASun,2009
Kent St.,MAC,2009
Kentucky,SEC,2009
LIU Brooklyn,NEC,2009
LSU,SEC,2009
La Salle,A10,2009
Lafayette,Pat,2009
Lamar,Slnd,2009
Lehigh,Pat,2009
Liberty,BSth,2009
Lipscomb,ASun,2009
Long Beach St.,BW,2009
Longwood,ind,2009
Louisiana Lafayette,SB,2009
Louisiana Monroe,SB,2009
Louisiana Tech,WAC,2009
Louisville,BE,2009
Loyola Chicago,Horz,2009
Loyola MD,MAAC,2009
Loyola Marymount,WCC,2009
Maine,AE,2009
Manhattan,MAAC,2009
Marist,MAAC,2009
Marquette,BE,2009
Marshall,CUSA,2009
Maryland,ACC,2009
Maryland Eastern Shore,MEAC,2009
Massachusetts,A10,2009
McNeese St.,Slnd,2009
Memphis,CUSA,2009
Mercer,ASun,2009
Miami FL,ACC,2009
Miami OH,MAC,2009
Michigan,B10,2009
Michigan St.,B10,2009
Middle Tennessee,SB,2009
Milwaukee,Horz,2009
Minnesota,B10,2009
Mississippi,SEC,2009
Mississippi St.,SEC,2009
Mississippi Valley St.,SWAC,2009
Missouri,B12,2009
Missouri St.,MVC,2009
Monmouth,NEC,2009
Montana,BSky,2009
Montana St.,BSky,2009
Morehead St.,OVC,2009
Morgan St.,MEAC,2009
Mount St. Mary's,NEC,2009
Murray St.,OVC,2009
N.C. State,ACC,2009
NJIT,ind,2009
Navy,Pat,2009
Nebraska,B12,2009
Nevada,WAC,2009
New Hampshire,AE,2009
New Mexico,MWC,2009
New Mexico St.,WAC,2009
New Orleans,SB,2009
Niagara,MAAC,2009
Nicholls St.,Slnd,2009
Norfolk St.,MEAC,2009
North Carolina,ACC,2009
North Carolina A&T,MEAC,2009
North Carolina Central,ind,2009
North Dakota St.,Sum,2009
North Florida,ASun,2009
North Texas,SB,2009
Northeastern,CAA,2009
Northern Arizona,BSky,2009
Northern Colorado,BSky,2009
Northern Illinois,MAC,2009
Northern Iowa,MVC,2009
Northwestern,B10,2009
Northwestern St.,Slnd,2009
Notre Dame,BE,2009
Oakland,Sum,2009
Ohio,MAC,2009
Ohio St.,B10,2009
Oklahoma,B12,2009
Oklahoma St.,B12,2009
Old Dominion,CAA,2009
Oral Roberts,Sum,2009
Oregon,P10,2009
Oregon St.,P10,2009
Pacific,BW,2009
Penn,Ivy,2009
Penn St.,B10,2009
Pepperdine,WCC,2009
Pittsburgh,BE,2009
Portland,WCC,2009
Portland St.,BSky,2009
Prairie View A&M,SWAC,2009
Presbyterian,BSth,2009
Princeton,Ivy,2009
Providence,BE,2009
Purdue,B10,2009
Quinnipiac,NEC,2009
Radford,BSth,2009
Rhode Island,A10,2009
Rice,CUSA,2009
Richmond,A10,2009
Rider,MAAC,2009
Robert Morris,NEC,2009
Rutgers,BE,2009
SIU Edwardsville,ind,2009
SMU,CUSA,2009
Sacramento St.,BSky,2009
Sacred Heart,NEC,2009
Saint Joseph's,A10,2009
Saint Louis,A10,2009
Saint Mary's,WCC,2009
Saint Peter's,MAAC,2009
Sam Houston St.,Slnd,2009
Samford,SC,2009
San Diego,WCC,2009
San Diego St.,MWC,2009
San Francisco,WCC,2009
San Jose St.,WAC,2009
Santa Clara,WCC,2009
Savannah St.,ind,2009
Seton Hall,BE,2009
Siena,MAAC,2009
South Alabama,SB,2009
South Carolina,SEC,2009
South Carolina St.,MEAC,2009
South Dakota St.,Sum,2009
South Florida,BE,2009
Southeast Missouri St.,OVC,2009
Southeastern Louisiana,Slnd,2009
Southern,SWAC,2009
Southern Illinois,MVC,2009
Southern Miss,CUSA,2009
Southern Utah,Sum,2009
St. Bonaventure,A10,2009
St. Francis NY,NEC,2009
St. Francis PA,NEC,2009
St. John's,BE,2009
Stanford,P10,2009
Stephen F. Austin,Slnd,2009
Stetson,ASun,2009
Stony Brook,AE,2009
Syracuse,BE,2009
TCU,MWC,2009
Temple,A10,2009
Tennessee,SEC,2009
Tennessee Martin,OVC,2009
Tennessee St.,OVC,2009
Tennessee Tech,OVC,2009
Texas,B12,2009
Texas A&M,B12,2009
Texas A&M Corpus Chris,Slnd,2009
Texas Pan American,ind,2009
Texas Southern,SWAC,2009
Texas St.,Slnd,2009
Texas Tech,B12,2009
The Citadel,SC,2009
Toledo,MAC,2009
Towson,CAA,2009
Troy,SB,2009
Tulane,CUSA,2009
Tulsa,CUSA,2009
UAB,CUSA,2009
UC Davis,BW,2009
UC Irvine,BW,2009
UC Riverside,BW,2009
UC Santa Barbara,BW,2009
UCF,CUSA,2009
UCLA,P10,2009
UMBC,AE,2009
UMKC,Sum,2009
UNC Asheville,BSth,2009
UNC Greensboro,SC,2009
UNC Wilmington,CAA,2009
UNLV,MWC,2009
USC,P10,2009
USC Upstate,ASun,2009
UT Arlington,Slnd,2009
UTEP,CUSA,2009
UTSA,Slnd,2009
Utah,MWC,2009
Utah St.,WAC,2009
Utah Valley,ind,2009
VCU,CAA,2009
VMI,BSth,2009
Valparaiso,Horz,2009
Vanderbilt,SEC,2009
Vermont,AE,2009
Villanova,BE,2009
Virginia,ACC,2009
Virginia Tech,ACC,2009
Wagner,NEC,2009
Wake Forest,ACC,2009
Washington,P10,2009
Washington St.,P10,2009
Weber St.,BSky,2009
West Virginia,BE,2009
Western Carolina,SC,2009
Western Illinois,Sum,2009
Western Kentucky,SB,2009
Western Michigan,MAC,2009
Wichita St.,MVC,2009
William & Mary,CAA,2009
Winston Salem St.,ind,2009
Winthrop,BSth,2009
Wisconsin,B10,2009
Wofford,SC,2009
Wright St.,Horz,2009
Wyoming,MWC,2009
Xavier,A10,2009
Yale,Ivy,2009
Youngstown St.,Horz,2009
Air Force,MWC,2008
Akron,MAC,2008
Alabama,SEC,2008
Alabama A&M,SWAC,2008
Alabama St.,SWAC,2008
Albany,AE,2008
Alcorn St.,SWAC,2008
American,Pat,2008
Appalachian St.,SC,2008
Arizona,P10,2008
Arizona St.,P10,2008
Arkansas,SEC,2008
Arkansas Little Rock,SB,2008
Arkansas Pine Bluff,SWAC,2008
Arkansas St.,SB,2008
Army,Pat,2008
Auburn,SEC,2008
Austin Peay,OVC,2008
BYU,MWC,2008
Ball St.,MAC,2008
Baylor,B12,2008
Belmont,ASun,2008
Bethune Cookman,MEAC,2008
Binghamton,AE,2008
Boise St.,WAC,2008
Boston College,ACC,2008
Boston University,AE,2008
Bowling Green,MAC,2008
Bradley,MVC,2008
Brown,Ivy,2008
Bucknell,Pat,2008
Buffalo,MAC,2008
Butler,Horz,2008
Cal Poly,BW,2008
Cal St. Bakersfield,ind,2008
Cal St. Fullerton,BW,2008
Cal St. Northridge,BW,2008
California,P10,2008
Campbell,ASun,2008
Canisius,MAAC,2008
Centenary,Sum,2008
Central Arkansas,Slnd,2008
Central Connecticut,NEC,2008
Central Michigan,MAC,2008
Charleston Southern,BSth,2008
Charlotte,A10,2008
Chattanooga,SC,2008
Chicago St.,ind,2008
Cincinnati,BE,2008
Clemson,ACC,2008
Cleveland St.,Horz,2008
Coastal Carolina,BSth,2008
Colgate,Pat,2008
College of Charleston,SC,2008
Colorado,B12,2008
Colorado St.,MWC,2008
Columbia,Ivy,2008
Connecticut,BE,2008
Coppin St.,MEAC,2008
Cornell,Ivy,2008
Creighton,MVC,2008
Dartmouth,Ivy,2008
Davidson,SC,2008
Dayton,A10,2008
DePaul,BE,2008
Delaware,CAA,2008
Delaware St.,MEAC,2008
Denver,SB,2008
Detroit,Horz,2008
Drake,MVC,2008
Drexel,CAA,2008
Duke,ACC,2008
Duquesne,A10,2008
East Carolina,CUSA,2008
East Tennessee St.,ASun,2008
Eastern Illinois,OVC,2008
Eastern Kentucky,OVC,2008
Eastern Michigan,MAC,2008
Eastern Washington,BSky,2008
Elon,SC,2008
Evansville,MVC,2008
FIU,SB,2008
Fairfield,MAAC,2008
Fairleigh Dickinson,NEC,2008
Florida,SEC,2008
Florida A&M,MEAC,2008
Florida Atlantic,SB,2008
Florida Gulf Coast,ASun,2008
Florida St.,ACC,2008
Fordham,A10,2008
Fresno St.,WAC,2008
Furman,SC,2008
Gardner Webb,ASun,2008
George Mason,CAA,2008
George Washington,A10,2008
Georgetown,BE,2008
Georgia,SEC,2008
Georgia Southern,SC,2008
Georgia St.,CAA,2008
Georgia Tech,ACC,2008
Gonzaga,WCC,2008
Grambling St.,SWAC,2008
Green Bay,Horz,2008
Hampton,MEAC,2008
Hartford,AE,2008
Harvard,Ivy,2008
Hawaii,WAC,2008
High Point,BSth,2008
Hofstra,CAA,2008
Holy Cross,Pat,2008
Houston,CUSA,2008
Howard,MEAC,2008
IPFW,Sum,2008
IUPUI,Sum,2008
Idaho,WAC,2008
Idaho St.,BSky,2008
Illinois,B10,2008
Illinois Chicago,Horz,2008
Illinois St.,MVC,2008
Indiana,B10,2008
Indiana St.,MVC,2008
Iona,MAAC,2008
Iowa,B10,2008
Iowa St.,B12,2008
Jackson St.,SWAC,2008
Jacksonville,ASun,2008
Jacksonville St.,OVC,2008
James Madison,CAA,2008
Kansas,B12,2008
Kansas St.,B12,2008
Kennesaw St.,ASun,2008
Kent St.,MAC,2008
Kentucky,SEC,2008
LIU Brooklyn,NEC,2008
LSU,SEC,2008
La Salle,A10,2008
Lafayette,Pat,2008
Lamar,Slnd,2008
Lehigh,Pat,2008
Liberty,BSth,2008
Lipscomb,ASun,2008
Long Beach St.,BW,2008
Longwood,ind,2008
Louisiana Lafayette,SB,2008
Louisiana Monroe,SB,2008
Louisiana Tech,WAC,2008
Louisville,BE,2008
Loyola Chicago,Horz,2008
Loyola MD,MAAC,2008
Loyola Marymount,WCC,2008
Maine,AE,2008
Manhattan,MAAC,2008
Marist,MAAC,2008
Marquette,BE,2008
Marshall,CUSA,2008
Maryland,ACC,2008
Maryland Eastern Shore,MEAC,2008
Massachusetts,A10,2008
McNeese St.,Slnd,2008
Memphis,CUSA,2008
Mercer,ASun,2008
Miami FL,ACC,2008
Miami OH,MAC,2008
Michigan,B10,2008
Michigan St.,B10,2008
Middle Tennessee,SB,2008
Milwaukee,Horz,2008
Minnesota,B10,2008
Mississippi,SEC,2008
Mississippi St.,SEC,2008
Mississippi Valley St.,SWAC,2008
Missouri,B12,2008
Missouri St.,MVC,2008
Monmouth,NEC,2008
Montana,BSky,2008
Montana St.,BSky,2008
Morehead St.,OVC,2008
Morgan St.,MEAC,2008
Mount St. Mary's,NEC,2008
Murray St.,OVC,2008
N.C. State,ACC,2008
NJIT,ind,2008
Navy,Pat,2008
Nebraska,B12,2008
Nevada,WAC,2008
New Hampshire,AE,2008
New Mexico,MWC,2008
New Mexico St.,WAC,2008
New Orleans,SB,2008
Niagara,MAAC,2008
Nicholls St.,Slnd,2008
Norfolk St.,MEAC,2008
North Carolina,ACC,2008
North Carolina A&T,MEAC,2008
North Carolina Central,ind,2008
North Dakota St.,Sum,2008
North Florida,ASun,2008
North Texas,SB,2008
Northeastern,CAA,2008
Northern Arizona,BSky,2008
Northern Colorado,BSky,2008
Northern Illinois,MAC,2008
Northern Iowa,MVC,2008
Northwestern,B10,2008
Northwestern St.,Slnd,2008
Notre Dame,BE,2008
Oakland,Sum,2008
Ohio,MAC,2008
Ohio St.,B10,2008
Oklahoma,B12,2008
Oklahoma St.,B12,2008
Old Dominion,CAA,2008
Oral Roberts,Sum,2008
Oregon,P10,2008
Oregon St.,P10,2008
Pacific,BW,2008
Penn,Ivy,2008
Penn St.,B10,2008
Pepperdine,WCC,2008
Pittsburgh,BE,2008
Portland,WCC,2008
Portland St.,BSky,2008
Prairie View A&M,SWAC,2008
Presbyterian,ind,2008
Princeton,Ivy,2008
Providence,BE,2008
Purdue,B10,2008
Quinnipiac,NEC,2008
Radford,BSth,2008
Rhode Island,A10,2008
Rice,CUSA,2008
Richmond,A10,2008
Rider,MAAC,2008
Robert Morris,NEC,2008
Rutgers,BE,2008
SMU,CUSA,2008
Sacramento St.,BSky,2008
Sacred Heart,NEC,2008
Saint Joseph's,A10,2008
Saint Louis,A10,2008
Saint Mary's,WCC,2008
Saint Peter's,MAAC,2008
Sam Houston St.,Slnd,2008
Samford,OVC,2008
San Diego,WCC,2008
San Diego St.,MWC,2008
San Francisco,WCC,2008
San Jose St.,WAC,2008
Santa Clara,WCC,2008
Savannah St.,ind,2008
Seton Hall,BE,2008
Siena,MAAC,2008
South Alabama,SB,2008
South Carolina,SEC,2008
South Carolina St.,MEAC,2008
South Dakota St.,Sum,2008
South Florida,BE,2008
Southeast Missouri St.,OVC,2008
Southeastern Louisiana,Slnd,2008
Southern,SWAC,2008
Southern Illinois,MVC,2008
Southern Miss,CUSA,2008
Southern Utah,Sum,2008
St. Bonaventure,A10,2008
St. Francis NY,NEC,2008
St. Francis PA,NEC,2008
St. John's,BE,2008
Stanford,P10,2008
Stephen F. Austin,Slnd,2008
Stetson,ASun,2008
Stony Brook,AE,2008
Syracuse,BE,2008
TCU,MWC,2008
Temple,A10,2008
Tennessee,SEC,2008
Tennessee Martin,OVC,2008
Tennessee St.,OVC,2008
Tennessee Tech,OVC,2008
Texas,B12,2008
Texas A&M,B12,2008
Texas A&M Corpus Chris,Slnd,2008
Texas Pan American,ind,2008
Texas Southern,SWAC,2008
Texas St.,Slnd,2008
Texas Tech,B12,2008
The Citadel,SC,2008
Toledo,MAC,2008
Towson,CAA,2008
Troy,SB,2008
Tulane,CUSA,2008
Tulsa,CUSA,2008
UAB,CUSA,2008
UC Davis,BW,2008
UC Irvine,BW,2008
UC Riverside,BW,2008
UC Santa Barbara,BW,2008
UCF,CUSA,2008
UCLA,P10,2008
UMBC,AE,2008
UMKC,Sum,2008
UNC Asheville,BSth,2008
UNC Greensboro,SC,2008
UNC Wilmington,CAA,2008
UNLV,MWC,2008
USC,P10,2008
USC Upstate,ASun,2008
UT Arlington,Slnd,2008
UTEP,CUSA,2008
UTSA,Slnd,2008
Utah,MWC,2008
Utah St.,WAC,2008
Utah Valley St.,ind,2008
VCU,CAA,2008
VMI,BSth,2008
Valparaiso,Horz,2008
Vanderbilt,SEC,2008
Vermont,AE,2008
Villanova,BE,2008
Virginia,ACC,2008
Virginia Tech,ACC,2008
Wagner,NEC,2008
Wake Forest,ACC,2008
Washington,P10,2008
Washington St.,P10,2008
Weber St.,BSky,2008
West Virginia,BE,2008
Western Carolina,SC,2008
Western Illinois,Sum,2008
Western Kentucky,SB,2008
Western Michigan,MAC,2008
Wichita St.,MVC,2008
William & Mary,CAA,2008
Winston Salem St.,ind,2008
Winthrop,BSth,2008
Wisconsin,B10,2008
Wofford,SC,2008
Wright St.,Horz,2008
Wyoming,MWC,2008
Xavier,A10,2008
Yale,Ivy,2008
Youngstown St.,Horz,2008
Air Force,MWC,2007
Akron,MAC,2007
Alabama,SEC,2007
Alabama A&M,SWAC,2007
Alabama St.,SWAC,2007
Albany,AE,2007
Alcorn St.,SWAC,2007
American,Pat,2007
Appalachian St.,SC,2007
Arizona,P10,2007
Arizona St.,P10,2007
Arkansas,SEC,2007
Arkansas Little Rock,SB,2007
Arkansas Pine Bluff,SWAC,2007
Arkansas St.,SB,2007
Army,Pat,2007
Auburn,SEC,2007
Austin Peay,OVC,2007
BYU,MWC,2007
Ball St.,MAC,2007
Baylor,B12,2007
Belmont,ASun,2007
Bethune Cookman,MEAC,2007
Binghamton,AE,2007
Boise St.,WAC,2007
Boston College,ACC,2007
Boston University,AE,2007
Bowling Green,MAC,2007
Bradley,MVC,2007
Brown,Ivy,2007
Bucknell,Pat,2007
Buffalo,MAC,2007
Butler,Horz,2007
Cal Poly,BW,2007
Cal St. Fullerton,BW,2007
Cal St. Northridge,BW,2007
California,P10,2007
Campbell,ASun,2007
Canisius,MAAC,2007
Centenary,MCon,2007
Central Arkansas,Slnd,2007
Central Connecticut,NEC,2007
Central Michigan,MAC,2007
Charleston Southern,BSth,2007
Charlotte,A10,2007
Chattanooga,SC,2007
Chicago St.,ind,2007
Cincinnati,BE,2007
Clemson,ACC,2007
Cleveland St.,Horz,2007
Coastal Carolina,BSth,2007
Colgate,Pat,2007
College of Charleston,SC,2007
Colorado,B12,2007
Colorado St.,MWC,2007
Columbia,Ivy,2007
Connecticut,BE,2007
Coppin St.,MEAC,2007
Cornell,Ivy,2007
Creighton,MVC,2007
Dartmouth,Ivy,2007
Davidson,SC,2007
Dayton,A10,2007
DePaul,BE,2007
Delaware,CAA,2007
Delaware St.,MEAC,2007
Denver,SB,2007
Detroit,Horz,2007
Drake,MVC,2007
Drexel,CAA,2007
Duke,ACC,2007
Duquesne,A10,2007
East Carolina,CUSA,2007
East Tennessee St.,ASun,2007
Eastern Illinois,OVC,2007
Eastern Kentucky,OVC,2007
Eastern Michigan,MAC,2007
Eastern Washington,BSky,2007
Elon,SC,2007
Evansville,MVC,2007
FIU,SB,2007
Fairfield,MAAC,2007
Fairleigh Dickinson,NEC,2007
Florida,SEC,2007
Florida A&M,MEAC,2007
Florida Atlantic,SB,2007
Florida St.,ACC,2007
Fordham,A10,2007
Fresno St.,WAC,2007
Furman,SC,2007
Gardner Webb,ASun,2007
George Mason,CAA,2007
George Washington,A10,2007
Georgetown,BE,2007
Georgia,SEC,2007
Georgia Southern,SC,2007
Georgia St.,CAA,2007
Georgia Tech,ACC,2007
Gonzaga,WCC,2007
Grambling St.,SWAC,2007
Green Bay,Horz,2007
Hampton,MEAC,2007
Hartford,AE,2007
Harvard,Ivy,2007
Hawaii,WAC,2007
High Point,BSth,2007
Hofstra,CAA,2007
Holy Cross,Pat,2007
Houston,CUSA,2007
Howard,MEAC,2007
IPFW,ind,2007
IUPUI,MCon,2007
Idaho,WAC,2007
Idaho St.,BSky,2007
Illinois,B10,2007
Illinois Chicago,Horz,2007
Illinois St.,MVC,2007
Indiana,B10,2007
Indiana St.,MVC,2007
Iona,MAAC,2007
Iowa,B10,2007
Iowa St.,B12,2007
Jackson St.,SWAC,2007
Jacksonville,ASun,2007
Jacksonville St.,OVC,2007
James Madison,CAA,2007
Kansas,B12,2007
Kansas St.,B12,2007
Kennesaw St.,ASun,2007
Kent St.,MAC,2007
Kentucky,SEC,2007
LIU Brooklyn,NEC,2007
LSU,SEC,2007
La Salle,A10,2007
Lafayette,Pat,2007
Lamar,Slnd,2007
Lehigh,Pat,2007
Liberty,BSth,2007
Lipscomb,ASun,2007
Long Beach St.,BW,2007
Longwood,ind,2007
Louisiana Lafayette,SB,2007
Louisiana Monroe,SB,2007
Louisiana Tech,WAC,2007
Louisville,BE,2007
Loyola Chicago,Horz,2007
Loyola MD,MAAC,2007
Loyola Marymount,WCC,2007
Maine,AE,2007
Manhattan,MAAC,2007
Marist,MAAC,2007
Marquette,BE,2007
Marshall,CUSA,2007
Maryland,ACC,2007
Maryland Eastern Shore,MEAC,2007
Massachusetts,A10,2007
McNeese St.,Slnd,2007
Memphis,CUSA,2007
Mercer,ASun,2007
Miami FL,ACC,2007
Miami OH,MAC,2007
Michigan,B10,2007
Michigan St.,B10,2007
Middle Tennessee,SB,2007
Milwaukee,Horz,2007
Minnesota,B10,2007
Mississippi,SEC,2007
Mississippi St.,SEC,2007
Mississippi Valley St.,SWAC,2007
Missouri,B12,2007
Missouri St.,MVC,2007
Monmouth,NEC,2007
Montana,BSky,2007
Montana St.,BSky,2007
Morehead St.,OVC,2007
Morgan St.,MEAC,2007
Mount St. Mary's,NEC,2007
Murray St.,OVC,2007
N.C. State,ACC,2007
NJIT,ind,2007
Navy,Pat,2007
Nebraska,B12,2007
Nevada,WAC,2007
New Hampshire,AE,2007
New Mexico,MWC,2007
New Mexico St.,WAC,2007
New Orleans,SB,2007
Niagara,MAAC,2007
Nicholls St.,Slnd,2007
Norfolk St.,MEAC,2007
North Carolina,ACC,2007
North Carolina A&T,MEAC,2007
North Dakota St.,ind,2007
North Florida,ASun,2007
North Texas,SB,2007
Northeastern,CAA,2007
Northern Arizona,BSky,2007
Northern Colorado,BSky,2007
Northern Illinois,MAC,2007
Northern Iowa,MVC,2007
Northwestern,B10,2007
Northwestern St.,Slnd,2007
Notre Dame,BE,2007
Oakland,MCon,2007
Ohio,MAC,2007
Ohio St.,B10,2007
Oklahoma,B12,2007
Oklahoma St.,B12,2007
Old Dominion,CAA,2007
Oral Roberts,MCon,2007
Oregon,P10,2007
Oregon St.,P10,2007
Pacific,BW,2007
Penn,Ivy,2007
Penn St.,B10,2007
Pepperdine,WCC,2007
Pittsburgh,BE,2007
Portland,WCC,2007
Portland St.,BSky,2007
Prairie View A&M,SWAC,2007
Princeton,Ivy,2007
Providence,BE,2007
Purdue,B10,2007
Quinnipiac,NEC,2007
Radford,BSth,2007
Rhode Island,A10,2007
Rice,CUSA,2007
Richmond,A10,2007
Rider,MAAC,2007
Robert Morris,NEC,2007
Rutgers,BE,2007
SMU,CUSA,2007
Sacramento St.,BSky,2007
Sacred Heart,NEC,2007
Saint Joseph's,A10,2007
Saint Louis,A10,2007
Saint Mary's,WCC,2007
Saint Peter's,MAAC,2007
Sam Houston St.,Slnd,2007
Samford,OVC,2007
San Diego,WCC,2007
San Diego St.,MWC,2007
San Francisco,WCC,2007
San Jose St.,WAC,2007
Santa Clara,WCC,2007
Savannah St.,ind,2007
Seton Hall,BE,2007
Siena,MAAC,2007
South Alabama,SB,2007
South Carolina,SEC,2007
South Carolina St.,MEAC,2007
South Dakota St.,ind,2007
South Florida,BE,2007
Southeast Missouri St.,OVC,2007
Southeastern Louisiana,Slnd,2007
Southern,SWAC,2007
Southern Illinois,MVC,2007
Southern Miss,CUSA,2007
Southern Utah,MCon,2007
St. Bonaventure,A10,2007
St. Francis NY,NEC,2007
St. Francis PA,NEC,2007
St. John's,BE,2007
Stanford,P10,2007
Stephen F. Austin,Slnd,2007
Stetson,ASun,2007
Stony Brook,AE,2007
Syracuse,BE,2007
TCU,MWC,2007
Temple,A10,2007
Tennessee,SEC,2007
Tennessee Martin,OVC,2007
Tennessee St.,OVC,2007
Tennessee Tech,OVC,2007
Texas,B12,2007
Texas A&M,B12,2007
Texas A&M Corpus Chris,Slnd,2007
Texas Pan American,ind,2007
Texas Southern,SWAC,2007
Texas St.,Slnd,2007
Texas Tech,B12,2007
The Citadel,SC,2007
Toledo,MAC,2007
Towson,CAA,2007
Troy,SB,2007
Tulane,CUSA,2007
Tulsa,CUSA,2007
UAB,CUSA,2007
UC Davis,ind,2007
UC Irvine,BW,2007
UC Riverside,BW,2007
UC Santa Barbara,BW,2007
UCF,CUSA,2007
UCLA,P10,2007
UMBC,AE,2007
UMKC,MCon,2007
UNC Asheville,BSth,2007
UNC Greensboro,SC,2007
UNC Wilmington,CAA,2007
UNLV,MWC,2007
USC,P10,2007
UT Arlington,Slnd,2007
UTEP,CUSA,2007
UTSA,Slnd,2007
Utah,MWC,2007
Utah St.,WAC,2007
Utah Valley St.,ind,2007
VCU,CAA,2007
VMI,BSth,2007
Valparaiso,MCon,2007
Vanderbilt,SEC,2007
Vermont,AE,2007
Villanova,BE,2007
Virginia,ACC,2007
Virginia Tech,ACC,2007
Wagner,NEC,2007
Wake Forest,ACC,2007
Washington,P10,2007
Washington St.,P10,2007
Weber St.,BSky,2007
West Virginia,BE,2007
Western Carolina,SC,2007
Western Illinois,MCon,2007
Western Kentucky,SB,2007
Western Michigan,MAC,2007
Wichita St.,MVC,2007
William & Mary,CAA,2007
Winston Salem St.,ind,2007
Winthrop,BSth,2007
Wisconsin,B10,2007
Wofford,SC,2007
Wright St.,Horz,2007
Wyoming,MWC,2007
Xavier,A10,2007
Yale,Ivy,2007
Youngstown St.,Horz,2007
Air Force,MWC,2006
Akron,MAC,2006
Alabama,SEC,2006
Alabama A&M,SWAC,2006
Alabama St.,SWAC,2006
Albany,AE,2006
Alcorn St.,SWAC,2006
American,Pat,2006
Appalachian St.,SC,2006
Arizona,P10,2006
Arizona St.,P10,2006
Arkansas,SEC,2006
Arkansas Little Rock,SB,2006
Arkansas Pine Bluff,SWAC,2006
Arkansas St.,SB,2006
Army,Pat,2006
Auburn,SEC,2006
Austin Peay,OVC,2006
BYU,MWC,2006
Ball St.,MAC,2006
Baylor,B12,2006
Belmont,ASun,2006
Bethune Cookman,MEAC,2006
Binghamton,AE,2006
Birmingham Southern,BSth,2006
Boise St.,WAC,2006
Boston College,ACC,2006
Boston University,AE,2006
Bowling Green,MAC,2006
Bradley,MVC,2006
Brown,Ivy,2006
Bucknell,Pat,2006
Buffalo,MAC,2006
Butler,Horz,2006
Cal Poly,BW,2006
Cal St. Fullerton,BW,2006
Cal St. Northridge,BW,2006
California,P10,2006
Campbell,ASun,2006
Canisius,MAAC,2006
Centenary,MCon,2006
Central Connecticut,NEC,2006
Central Michigan,MAC,2006
Charleston Southern,BSth,2006
Charlotte,A10,2006
Chattanooga,SC,2006
Chicago St.,MCon,2006
Cincinnati,BE,2006
Clemson,ACC,2006
Cleveland St.,Horz,2006
Coastal Carolina,BSth,2006
Colgate,Pat,2006
College of Charleston,SC,2006
Colorado,B12,2006
Colorado St.,MWC,2006
Columbia,Ivy,2006
Connecticut,BE,2006
Coppin St.,MEAC,2006
Cornell,Ivy,2006
Creighton,MVC,2006
Dartmouth,Ivy,2006
Davidson,SC,2006
Dayton,A10,2006
DePaul,BE,2006
Delaware,CAA,2006
Delaware St.,MEAC,2006
Denver,SB,2006
Detroit,Horz,2006
Drake,MVC,2006
Drexel,CAA,2006
Duke,ACC,2006
Duquesne,A10,2006
East Carolina,CUSA,2006
East Tennessee St.,ASun,2006
Eastern Illinois,OVC,2006
Eastern Kentucky,OVC,2006
Eastern Michigan,MAC,2006
Eastern Washington,BSky,2006
Elon,SC,2006
Evansville,MVC,2006
FIU,SB,2006
Fairfield,MAAC,2006
Fairleigh Dickinson,NEC,2006
Florida,SEC,2006
Florida A&M,MEAC,2006
Florida Atlantic,ASun,2006
Florida St.,ACC,2006
Fordham,A10,2006
Fresno St.,WAC,2006
Furman,SC,2006
Gardner Webb,ASun,2006
George Mason,CAA,2006
George Washington,A10,2006
Georgetown,BE,2006
Georgia,SEC,2006
Georgia Southern,SC,2006
