team_id,location,display_name,short_name,mascot,nickname,abbreviation,conference_id,conference_name
2717,Western Carolina,Western Carolina Catamounts,W Carolina,Catamounts,W Carolina,WCU,24,Southern Conference
2724,Wichita State,Wichita State Shockers,Wichita St,Shockers,Wichita St,WICH,62,American Athletic Conference
2729,William & Mary,William & Mary Tribe,William & Mary,Tribe,William & Mary,W&M,10,Colonial Athletic Association
2736,Winston-Salem State,Winston-Salem State Rams,Winston-Salem,Rams,Winston-Salem,WSSU,,
2737,Winthrop,Winthrop Eagles,Winthrop,Eagles,Winthrop,WIN,6,Big South Conference
2739,Green Bay,Green Bay Phoenix,Green Bay,Phoenix,Green Bay,GB,45,Horizon League
2747,Wofford,Wofford Terriers,Wofford,Terriers,Wofford,WOF,24,Southern Conference
275,Wisconsin,Wisconsin Badgers,Wisconsin,Badgers,Wisconsin,WIS,7,Big Ten Conference
2750,Wright State,Wright State Raiders,Wright St,Raiders,Wright St,WRST,45,Horizon League
2751,Wyoming,Wyoming Cowboys,Wyoming,Cowboys,Wyoming,WYO,44,Mountain West Conference
2752,Xavier,Xavier Musketeers,Xavier,Musketeers,Xavier,XAV,4,Big East Conference
2754,Youngstown State,Youngstown State Penguins,Youngstown St,Penguins,Youngstown St,YSU,45,Horizon League
2755,Grambling,Grambling Tigers,Grambling,Tigers,Grambling,GRAM,26,Southwestern Athletic Conference
276,Marshall,Marshall Thundering Herd,Marshall,Thundering Herd,Marshall,MRSH,27,Sun Belt Conference
277,West Virginia,West Virginia Mountaineers,West Virginia,Mountaineers,West Virginia,WVU,8,Big 12 Conference
2771,Merrimack,Merrimack Warriors,Merrimack,Warriors,Merrimack,MRMK,19,Northeast Conference
278,Fresno State,Fresno State Bulldogs,Fresno St,Bulldogs,Fresno St,FRES,44,Mountain West Conference
279,Pacific,Pacific Tigers,Pacific,Tigers,Pacific,PAC,29,West Coast Conference
28,UC San Diego,UC San Diego Tritons,UC San Diego,Tritons,UC San Diego,UCSD,9,Big West Conference
2803,Bryant,Bryant Bulldogs,Bryant,Bulldogs,Bryant,BRY,1,America East Conference
2815,Lindenwood,Lindenwood Lions,Lindenwood,Lions,Lindenwood,LIN,,
282,Indiana State,Indiana State Sycamores,Indiana St,Sycamores,Indiana St,INST,18,Missouri Valley Conference
2837,East Texas A&M,East Texas A&M Lions,E Texas A&M,Lions,E Texas A&M,ETAM,25,Southland Conference
284,Stonehill,Stonehill Skyhawks,Stonehill,Skyhawks,Stonehill,STO,19,Northeast Conference
2856,California Baptist,California Baptist Lancers,CA Baptist,Lancers,CA Baptist,CBU,30,Western Athletic Conference
2870,Purdue Fort Wayne,Purdue Fort Wayne Mastodons,Purdue FW,Mastodons,Purdue FW,PFW,45,Horizon League
288,Lipscomb,Lipscomb Bisons,Lipscomb,Bisons,Lipscomb,LIP,46,ASUN Conference
2885,NJIT,NJIT Highlanders,NJIT,Highlanders,NJIT,NJIT,1,America East Conference
290,Georgia Southern,Georgia Southern Eagles,GA Southern,Eagles,GA Southern,GASO,27,Sun Belt Conference
2900,St. Thomas,St. Thomas Tommies,St Thomas (MN),Tommies,St Thomas (MN),STMN,49,Summit League
2908,South Carolina Upstate,South Carolina Upstate Spartans,SC Upstate,Spartans,SC Upstate,UPST,6,Big South Conference
2916,Incarnate Word,Incarnate Word Cardinals,Incarnate Word,Cardinals,Incarnate Word,UIW,25,Southland Conference
292,UT Rio Grande Valley,UT Rio Grande Valley Vaqueros,UT Rio Grande,Vaqueros,UT Rio Grande,RGV,30,Western Athletic Conference
2934,Cal State Bakersfield,Cal State Bakersfield Roadrunners,Bakersfield,Roadrunners,Bakersfield,CSUB,9,Big West Conference
294,Jacksonville,Jacksonville Dolphins,Jacksonville,Dolphins,Jacksonville,JAX,46,ASUN Conference
295,Old Dominion,Old Dominion Monarchs,Old Dominion,Monarchs,Old Dominion,ODU,27,Sun Belt Conference
299,Long Beach State,Long Beach State Beach,Long Beach St,Beach,Long Beach St,LBSU,9,Big West Conference
30,USC,USC Trojans,USC,Trojans,USC,USC,21,Pac-12 Conference
300,UC Irvine,UC Irvine Anteaters,UC Irvine,Anteaters,UC Irvine,UCI,9,Big West Conference
301,San Diego,San Diego Toreros,San Diego,Toreros,San Diego,USD,29,West Coast Conference
302,UC Davis,UC Davis Aggies,UC Davis,Aggies,UC Davis,UCD,9,Big West Conference
304,Idaho State,Idaho State Bengals,Idaho St,Bengals,Idaho St,IDST,5,Big Sky Conference
305,DePaul,DePaul Blue Demons,DePaul,Blue Demons,DePaul,DEP,4,Big East Conference
3084,Utah Valley,Utah Valley Wolverines,Utah Valley,Wolverines,Utah Valley,UVU,30,Western Athletic Conference
309,Louisiana,Louisiana Ragin' Cajuns,Louisiana,Ragin' Cajuns,Louisiana,UL,27,Sun Belt Conference
3101,Utah Tech,Utah Tech Trailblazers,Utah Tech,Trailblazers,Utah Tech,UTU,30,Western Athletic Conference
311,Maine,Maine Black Bears,Maine,Black Bears,Maine,ME,1,America East Conference
314,Iona,Iona Gaels,Iona,Gaels,Iona,IONA,13,Metro Atlantic Athletic Conference
315,Niagara,Niagara Purple Eagles,Niagara,Purple Eagles,Niagara,NIA,13,Metro Atlantic Athletic Conference
322,Lafayette,Lafayette Leopards,Lafayette,Leopards,Lafayette,LAF,22,Patriot League
324,Coastal Carolina,Coastal Carolina Chanticleers,Coastal,Chanticleers,Coastal,CCU,27,Sun Belt Conference
325,Cleveland State,Cleveland State Vikings,Cleveland St,Vikings,Cleveland St,CLE,45,Horizon League
326,Texas State,Texas State Bobcats,Texas St,Bobcats,Texas St,TXST,27,Sun Belt Conference
328,Utah State,Utah State Aggies,Utah State,Aggies,Utah State,USU,44,Mountain West Conference
331,Eastern Washington,Eastern Washington Eagles,E Washington,Eagles,E Washington,EWU,5,Big Sky Conference
333,Alabama,Alabama Crimson Tide,Alabama,Crimson Tide,Alabama,ALA,23,Southeastern Conference
338,Kennesaw State,Kennesaw State Owls,Kennesaw St,Owls,Kennesaw St,KENN,46,ASUN Conference
339,Evansville,Evansville Purple Aces,Evansville,Purple Aces,Evansville,EVAN,18,Missouri Valley Conference
344,Mississippi State,Mississippi State Bulldogs,Mississippi St,Bulldogs,Mississippi St,MSST,23,Southeastern Conference
349,Army,Army Black Knights,Army,Black Knights,Army,ARMY,22,Patriot League
350,UNC Wilmington,UNC Wilmington Seahawks,UNC Wilmington,Seahawks,UNC Wilmington,UNCW,10,Colonial Athletic Association
356,Illinois,Illinois Fighting Illini,Illinois,Fighting Illini,Illinois,ILL,7,Big Ten Conference
357,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi Islanders,Texas A&M-CC,Islanders,Texas A&M-CC,AMCC,25,Southland Conference
36,Colorado State,Colorado State Rams,Colorado St,Rams,Colorado St,CSU,44,Mountain West Conference
38,Colorado,Colorado Buffaloes,Colorado,Buffaloes,Colorado,COLO,21,Pac-12 Conference
399,UAlbany,UAlbany Great Danes,UAlbany,Great Danes,UAlbany,UALB,1,America East Conference
41,UConn,UConn Huskies,UConn,Huskies,UConn,CONN,4,Big East Conference
42,Hartford,Hartford Hawks,Hartford,Hawks,Hartford,HART,43,Division I Independents
43,Yale,Yale Bulldogs,Yale,Bulldogs,Yale,YALE,12,Ivy League
44,American University,American University Eagles,American,Eagles,American,AMER,22,Patriot League
45,George Washington,George Washington Revolutionaries,G Washington,Revolutionaries,G Washington,GW,3,Atlantic 10 Conference
46,Georgetown,Georgetown Hoyas,Georgetown,Hoyas,Georgetown,GTWN,4,Big East Conference
47,Howard,Howard Bison,Howard,Bison,Howard,HOW,16,Mid-Eastern Athletic Conference
48,Delaware,Delaware Blue Hens,Delaware,Blue Hens,Delaware,DEL,10,Colonial Athletic Association
5,UAB,UAB Blazers,UAB,Blazers,UAB,UAB,11,Conference USA
50,Florida A&M,Florida A&M Rattlers,Florida A&M,Rattlers,Florida A&M,FAMU,26,Southwestern Athletic Conference
52,Florida State,Florida State Seminoles,Florida St,Seminoles,Florida St,FSU,2,Atlantic Coast Conference
526,Florida Gulf Coast,Florida Gulf Coast Eagles,FGCU,Eagles,FGCU,FGCU,46,ASUN Conference
55,Jacksonville State,Jacksonville State Gamecocks,Jax State,Gamecocks,Jax State,JXST,46,ASUN Conference
56,Stetson,Stetson Hatters,Stetson,Hatters,Stetson,STET,46,ASUN Conference
57,Florida,Florida Gators,Florida,Gators,Florida,FLA,23,Southeastern Conference
58,South Florida,South Florida Bulls,South Florida,Bulls,South Florida,USF,62,American Athletic Conference
59,Georgia Tech,Georgia Tech Yellow Jackets,Georgia Tech,Yellow Jackets,Georgia Tech,GT,2,Atlantic Coast Conference
6,South Alabama,South Alabama Jaguars,South Alabama,Jaguars,South Alabama,USA,27,Sun Belt Conference
61,Georgia,Georgia Bulldogs,Georgia,Bulldogs,Georgia,UGA,23,Southeastern Conference
62,Hawai'i,Hawai'i Rainbow Warriors,Hawai'i,Rainbow Warriors,Hawai'i,HAW,9,Big West Conference
66,Iowa State,Iowa State Cyclones,Iowa State,Cyclones,Iowa State,ISU,8,Big 12 Conference
68,Boise State,Boise State Broncos,Boise St,Broncos,Boise St,BOIS,44,Mountain West Conference
70,Idaho,Idaho Vandals,Idaho,Vandals,Idaho,IDHO,5,Big Sky Conference
71,Bradley,Bradley Braves,Bradley,Braves,Bradley,BRAD,18,Missouri Valley Conference
77,Northwestern,Northwestern Wildcats,Northwestern,Wildcats,Northwestern,NU,7,Big Ten Conference
79,Southern Illinois,Southern Illinois Salukis,S Illinois,Salukis,S Illinois,SIU,18,Missouri Valley Conference
8,Arkansas,Arkansas Razorbacks,Arkansas,Razorbacks,Arkansas,ARK,23,Southeastern Conference
82,UIC,UIC Flames,UIC,Flames,UIC,UIC,18,Missouri Valley Conference
84,Indiana,Indiana Hoosiers,Indiana,Hoosiers,Indiana,IU,7,Big Ten Conference
85,IU Indianapolis,IU Indianapolis Jaguars,IU Indy,Jaguars,IU Indy,IUIN,45,Horizon League
87,Notre Dame,Notre Dame Fighting Irish,Notre Dame,Fighting Irish,Notre Dame,ND,2,Atlantic Coast Conference
88,Southern Indiana,Southern Indiana Screaming Eagles,So Indiana,Screaming Eagles,So Indiana,USI,,
9,Arizona State,Arizona State Sun Devils,Arizona St,Sun Devils,Arizona St,ASU,21,Pac-12 Conference
91,Bellarmine,Bellarmine Knights,Bellarmine,Knights,Bellarmine,BELL,46,ASUN Conference
93,Murray State,Murray State Racers,Murray St,Racers,Murray St,MUR,18,Missouri Valley Conference
94,Northern Kentucky,Northern Kentucky Norse,N Kentucky,Norse,N Kentucky,NKU,45,Horizon League
96,Kentucky,Kentucky Wildcats,Kentucky,Wildcats,Kentucky,UK,23,Southeastern Conference
97,Louisville,Louisville Cardinals,Louisville,Cardinals,Louisville,LOU,2,Atlantic Coast Conference
98,Western Kentucky,Western Kentucky Hilltoppers,Western KY,Hilltoppers,Western KY,WKU,11,Conference USA
99,LSU,LSU Tigers,LSU,Tigers,LSU,LSU,23,Southeastern Conference
